"childid","catholic","race","race_white","race_black","race_hispanic","race_asian","p5numpla","p5hmage","p5hdage","w3daded","w3momed","w3daded_hsb","w3momed_hsb","w3momscr","w3dadscr","w3inccat","w3income","w3povrty","p5fstamp","c5r2mtsc","c5r2mtsc_std"
"0850011C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,44,53,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,53.5,35.78,"$40,001 TO $50,000",45000.5,0,0,43.277,-0.7441948
"0850012C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,33,35,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,38.18,33.42,"$50,001 TO $75,000",62500.5,0,0,58.788,0.8525594
"0850013C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,35,35,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,35.78,53.5,"$50,001 TO $75,000",62500.5,0,0,63.99,1.388071
"0850015C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,40,49,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,NA,77.5,"$200,001 TO $200,001",200001,0,0,60.133,0.9910182
"0850016C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.895,-1.915896
"0850017C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.737,0.6414226
"0850020C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,32,38,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,53.5,"$200,001 TO $200,001",200001,0,0,63.183,1.304995
"0850021C",1,"WHITE, NON-HISPANIC",1,0,0,0,3,38,39,"DOCTORATE OR PROFESSIONAL DEGREE","VOC/TECH PROGRAM",0,1,38.18,59,"$75,001 TO $100,000",87500.5,0,0,58.072,0.778852
"0850022C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,49,"MASTER'S DEGREE (MA, MS)","SOME COLLEGE",0,0,34.95,63.43,"$20,001 TO $25,000",22500.5,1,0,59.858,0.9627088
"0850024C",1,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,46,47,"SOME COLLEGE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,59,53.5,"$75,001 TO $100,000",87500.5,0,0,57.842,0.755175
"0851007C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,31,31,"BACHELOR'S DEGREE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,34.95,34.95,"$10,001 TO $15,000",12500.5,1,0,49.252,-0.1291083
"0851011C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.29,-1.46346
"0851013C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,30,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,NA,NA,"$5,000 TO $5,000",5000,1,1,34.342,-1.663994
"0851014C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,56,57,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,39.2,"$15,001 TO $20,000",17500.5,1,1,45.822,-0.482204
"0851017C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,39,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,34.95,NA,"$10,001 TO $15,000",12500.5,1,1,32.798,-1.822938
"0851019C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.949,-1.601507
"0851020C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,26,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,34.95,NA,"$15,001 TO $20,000",17500.5,1,0,42.853,-0.7878428
"0851021C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,35,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,34.95,NA,"$5,000 TO $5,000",5000,1,1,40.559,-1.023995
"0852002C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,"SOME COLLEGE","SOME COLLEGE",0,0,34.95,35.78,"$50,001 TO $75,000",62500.5,0,0,52.583,0.213796
"0852003C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,41,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$40,001 TO $50,000",45000.5,0,0,54.283,0.3887996
"0852004C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,39.18,"$75,001 TO $100,000",87500.5,0,0,41.078,-0.9705673
"0852005C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,36,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,53.5,39.2,"$75,001 TO $100,000",87500.5,0,0,63.093,1.295731
"0852006C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,34,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,38.18,NA,"$10,001 TO $15,000",12500.5,1,0,45.513,-0.5140135
"0852007C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,35,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,39.2,NA,"$25,001 TO $30,000",27500.5,0,0,45.866,-0.4776745
"0852008C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,53.5,53.5,"$75,001 TO $100,000",87500.5,0,0,59.574,0.9334729
"0852010C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.243,0.1787952
"0852011C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,47,46,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,53.5,39.18,"$100,001 TO $200,000",150000.5,0,0,65.086,1.500897
"0852012C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,38,32,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,35.92,"$40,001 TO $50,000",45000.5,0,0,53.18,0.2752531
"0852013C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.876,1.067505
"0852014C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","9TH - 12TH GRADE",1,1,34.95,39.18,"$50,001 TO $75,000",62500.5,0,0,57.398,0.7094682
"0852015C",1,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.259,-2.290198
"0852016C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,40,40,"BACHELOR'S DEGREE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,64.89,"$50,001 TO $75,000",62500.5,0,0,44.558,-0.6123244
"0852017C",1,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,72,76,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,NA,NA,"$20,001 TO $25,000",22500.5,0,0,42.661,-0.8076079
"0852019C",1,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,41,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,35.78,NA,"$35,001 TO $40,000",37500.5,0,0,34.141,-1.684685
"0852020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,57,"SOME COLLEGE","MASTER'S DEGREE (MA, MS)",0,0,63.43,39.2,"$50,001 TO $75,000",62500.5,0,0,63.235,1.310348
"0852021C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,41,NA,"NOT APPLICABLE","VOC/TECH PROGRAM",NA,1,38.18,NA,"$25,001 TO $30,000",27500.5,0,0,54.653,0.4268887
"0852022C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,45,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,35.78,53.5,"$75,001 TO $100,000",87500.5,0,0,54.888,0.4510804
"0852023C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,27,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$10,001 TO $15,000",12500.5,1,0,45.058,-0.5608527
"0853022C",0,"ASIAN",0,0,0,1,1,38,50,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,NA,64.89,"$50,001 TO $75,000",62500.5,0,0,51.634,0.1161027
"0855002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,NA,NA,"$100,001 TO $200,000",150000.5,0,0,49.544,-0.09904888
"0855004C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.758,-0.9005658
"0855005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,NA,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,39.18,"$40,001 TO $50,000",45000.5,0,0,56.121,0.5780095
"0855006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,39.2,"$50,001 TO $75,000",62500.5,0,0,52.64,0.2196637
"0855007C",0,"ASIAN",0,0,0,1,2,43,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,52.54,NA,"$35,001 TO $40,000",37500.5,0,0,55.197,0.4828899
"0855008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,40,"VOC/TECH PROGRAM","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,39.2,"$200,001 TO $200,001",200001,0,0,62.401,1.224494
"0855009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,NA,"MASTER'S DEGREE (MA, MS)","SOME COLLEGE",0,0,57.83,64.89,"$75,001 TO $100,000",87500.5,0,0,58.909,0.8650156
"0855010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,48,"BACHELOR'S DEGREE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,48.69,53.5,"$100,001 TO $200,000",150000.5,0,0,56.922,0.6604671
"0855011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,47,"MASTER'S DEGREE (MA, MS)","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,53.5,"$75,001 TO $100,000",87500.5,0,0,69.567,1.962186
"0855013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,34,"MASTER'S DEGREE (MA, MS)","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,53.5,"$100,001 TO $200,000",150000.5,0,0,65.384,1.531574
"0855014C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,31,34,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,39.18,"$35,001 TO $40,000",37500.5,0,1,49.383,-0.1156228
"0855017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,61.56,NA,"$50,001 TO $75,000",62500.5,0,0,57.778,0.7485866
"0855019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,44,"VOC/TECH PROGRAM","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,NA,"$20,001 TO $25,000",22500.5,0,0,76.32,2.657362
"0855020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,35,"SOME COLLEGE","SOME COLLEGE",0,0,34.95,35.78,"$75,001 TO $100,000",87500.5,0,0,55.212,0.484434
"0855021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,34.95,NA,"$10,001 TO $15,000",12500.5,1,0,48.893,-0.166065
"0855023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,34,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,34.95,"$40,001 TO $50,000",45000.5,0,0,42.716,-0.8019461
"0856001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,29,28,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,53.5,39.2,"$25,001 TO $30,000",27500.5,0,0,37.108,-1.379252
"0856003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,41,"BACHELOR'S DEGREE","VOC/TECH PROGRAM",0,1,38.18,48.69,"$100,001 TO $200,000",150000.5,0,0,62.559,1.240759
"0856005C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.489,0.8217794
"0856007C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,35,35,"SOME COLLEGE","MASTER'S DEGREE (MA, MS)",0,0,63.43,37.67,"$75,001 TO $100,000",87500.5,0,0,45.997,-0.4641889
"0856009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,35,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,35.78,35.78,"$75,001 TO $100,000",87500.5,0,0,64.616,1.452513
"0856010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,36,"SOME COLLEGE","SOME COLLEGE",0,0,34.95,39.2,"$40,001 TO $50,000",45000.5,0,0,55.224,0.4856693
"0856011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,39,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,63.43,62.87,"$75,001 TO $100,000",87500.5,0,0,56.927,0.6609819
"0856012C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.452,-1.549727
"0856013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,39,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,64.89,"$50,001 TO $75,000",62500.5,0,0,60.726,1.052064
"0856014C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.668,-0.6010006
"0856016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,34,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,NA,29.6,"$25,001 TO $30,000",27500.5,0,NA,58.773,0.8510153
"0856017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,37,"BACHELOR'S DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,34.95,35.78,"$75,001 TO $100,000",87500.5,0,0,63.922,1.381071
"0856019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","8TH GRADE OR BELOW",1,1,NA,39.2,"$15,001 TO $20,000",17500.5,0,0,47.66,-0.2929941
"0856020C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,28,29,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,39.2,"$35,001 TO $40,000",37500.5,0,0,46.16,-0.4474092
"0856023C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.036,-2.107268
"0857001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,33,"VOC/TECH PROGRAM","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,64.89,"$50,001 TO $75,000",62500.5,0,0,46.706,-0.3912021
"0857002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,25,58,"9TH - 12TH GRADE","SOME COLLEGE",1,0,NA,33.42,"$35,001 TO $40,000",37500.5,0,0,46.147,-0.4487474
"0857003C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,28,27,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,35.78,37.67,"$20,001 TO $25,000",22500.5,1,0,33.384,-1.762613
"0857004C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,34,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$15,001 TO $20,000",17500.5,1,0,37.678,-1.320575
"0857005C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,31,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,35.78,NA,"$25,001 TO $30,000",27500.5,0,0,35.982,-1.495167
"0857007C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,2,27,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,34.95,NA,"$30,001 TO $35,000",32500.5,0,0,53.138,0.2709295
"0857008C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,39,41,"SOME COLLEGE","9TH - 12TH GRADE",0,1,NA,33.42,"$15,001 TO $20,000",17500.5,0,0,53.272,0.2847239
"0857010C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.189,-1.679744
"0857011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,38,"HIGH SCHOOL DIPLOMA/EQUIVALENT","9TH - 12TH GRADE",1,1,NA,29.6,"$50,001 TO $75,000",62500.5,0,0,37.385,-1.350737
"0857012C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,28,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,NA,NA,"$5,000 TO $5,000",5000,1,0,43.853,-0.6848995
"0857013C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,36,40,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,63.43,37.67,"$40,001 TO $50,000",45000.5,0,0,60.504,1.02921
"0857016C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,27,41,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,29.6,"$35,001 TO $40,000",37500.5,0,0,54.402,0.4010499
"0857017C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,36,NA,"NOT APPLICABLE","MASTER'S DEGREE (MA, MS)",NA,0,63.43,NA,"$35,001 TO $40,000",37500.5,0,0,47.195,-0.3408628
"0857018C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,36,34,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,NA,34.95,"$15,001 TO $20,000",17500.5,1,0,36.065,-1.486622
"0857019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,40,"VOC/TECH PROGRAM","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,33.42,"$35,001 TO $40,000",37500.5,0,0,61.852,1.167978
"0857020C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.313,0.3918879
"0857024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,47,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,48.69,39.2,"$75,001 TO $100,000",87500.5,0,0,67.819,1.782241
"0858001C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,37,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,33.42,NA,"$30,001 TO $35,000",32500.5,0,0,49.894,-0.06301871
"0858002C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.833,-1.201675
"0858003C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,41,58,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,NA,NA,"$20,001 TO $25,000",22500.5,0,0,51.407,0.09273458
"0858006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,28,28,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,NA,39.2,"$15,001 TO $20,000",17500.5,1,1,46.934,-0.367731
"0858007C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,37,41,"HIGH SCHOOL DIPLOMA/EQUIVALENT","9TH - 12TH GRADE",1,1,NA,33.42,"$5,001 TO $10,000",7500.5,1,0,25.365,-2.588116
"0858008C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.481,-0.1055343
"0858011C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.115,0.06267512
"0858013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,37,"9TH - 12TH GRADE","SOME COLLEGE",1,0,59,39.2,"$25,001 TO $30,000",27500.5,0,0,47.101,-0.3505395
"0858017C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.904,1.482161
"0858019C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,44,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,38.18,NA,"$5,001 TO $10,000",7500.5,1,1,66.483,1.644708
"0858020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,49,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,52.54,NA,"$40,001 TO $50,000",45000.5,0,0,42.507,-0.8234612
"0858023C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,32,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,35.78,NA,"$5,000 TO $5,000",5000,1,1,49.427,-0.1110932
"0858024C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,33,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,29.6,"$5,000 TO $5,000",5000,1,1,31.014,-2.006589
"0859001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,38,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,35.92,33.42,"$50,001 TO $75,000",62500.5,0,0,36.906,-1.400047
"0859004C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.852,0.6532611
"0859005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","MASTER'S DEGREE (MA, MS)",1,0,NA,39.2,"$40,001 TO $50,000",45000.5,0,0,39.835,-1.098526
"0859008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,28,27,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,33.42,"$25,001 TO $30,000",27500.5,0,0,54.699,0.4316241
"0859009C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.954,0.6637613
"0859010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,45,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,61.56,35.78,"$75,001 TO $100,000",87500.5,0,0,52.252,0.1797217
"0859011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,NA,"NOT APPLICABLE","VOC/TECH PROGRAM",NA,1,34.95,NA,"$5,001 TO $10,000",7500.5,1,0,53.941,0.353593
"0859013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,47,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,39.2,"$40,001 TO $50,000",45000.5,0,0,46.7,-0.3918198
"0859017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,35.78,33.42,"$100,001 TO $200,000",150000.5,0,0,58.018,0.773293
"0859018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,45,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,53.5,"$25,001 TO $30,000",27500.5,0,0,55.051,0.4678601
"0859019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,28,29,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,37.67,"$75,001 TO $100,000",87500.5,0,0,57.803,0.7511602
"0859022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,61,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,35.78,NA,"$5,001 TO $10,000",7500.5,1,0,56.724,0.6400844
"0859023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,38.18,NA,"$25,001 TO $30,000",27500.5,0,0,51.269,0.0785284
"0859024C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,35,36,"BACHELOR'S DEGREE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,37.67,"$50,001 TO $75,000",62500.5,0,0,48.663,-0.189742
"0860002C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,NA,49,"9TH - 12TH GRADE","NOT APPLICABLE",1,NA,NA,29.6,"$20,001 TO $25,000",22500.5,0,1,59.72,0.9485026
"0860004C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.086,0.2655765
"0860005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,39.18,"$40,001 TO $50,000",45000.5,0,0,61.581,1.14008
"0860010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,52,44,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,NA,39.2,"$40,001 TO $50,000",45000.5,0,0,45.774,-0.4871453
"0860013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,27,28,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,33.42,"$75,001 TO $100,000",87500.5,0,0,47.994,-0.2586111
"0860015C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.157,0.2728854
"0860017C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.81,-0.2775526
